X_Value,Voltage
0.476,0.001653
0.4765,0.001771
0.477,0.001713
0.4775,0.001785
0.478,0.001815
0.4785,0.001912
0.479,0.001916
0.4795,0.001951
0.48,0.001965
0.4805,0.002075
0.481,0.002066
0.4815,0.002063
0.482,0.002146
0.4825,0.002156
0.483,0.002207
0.4835,0.00227
0.484,0.002215
0.4845,0.002282
0.485,0.002309
0.4855,0.002374
0.486,0.002353
0.4865,0.00242
0.487,0.002445
0.4875,0.002482
0.488,0.002533
0.4885,0.002544
0.489,0.002595
0.4895,0.002495
0.49,0.002635
0.4905,0.002601
0.491,0.00266
0.4915,0.002704
0.492,0.002667
0.4925,0.00274
0.493,0.002766
0.4935,0.002743
0.494,0.00279
0.4945,0.002731
0.495,0.002758
0.4955,0.002809
0.496,0.002819
0.4965,0.002848
0.497,0.002867
0.4975,0.002854
0.498,0.002943
0.4985,0.00289
0.499,0.002871
0.4995,0.002914
0.5,0.002908
0.5005,0.00287
0.501,0.002874
0.5015,0.002917
0.502,0.002864
0.5025,0.002914
0.503,0.002883
0.5035,0.002853
0.504,0.002882
0.5045,0.002767
0.505,0.002814
0.5055,0.002814
0.506,0.002846
0.5065,0.002812
0.507,0.002797
0.5075,0.002794
0.508,0.002821
0.5085,0.002731
0.509,0.00275
0.5095,0.002779
0.51,0.002692
0.5105,0.002723
0.511,0.002688
0.5115,0.002666
0.512,0.002598
0.5125,0.002592
0.513,0.00259
0.5135,0.002482
0.514,0.002489
0.5145,0.002489
0.515,0.002461
0.5155,0.002513
0.516,0.002483
0.5165,0.002437
0.517,0.002417
0.5175,0.002379
0.518,0.002326
0.5185,0.002293
0.519,0.002283
0.5195,0.002269
0.52,0.002173
0.5205,0.002193
0.521,0.002056
0.5215,0.002042
0.522,0.001998
0.5225,0.001984
0.523,0.001957
0.5235,0.001926
0.524,0.00184
0.5245,0.001894
0.525,0.001848
0.5255,0.001789
0.526,0.001699
0.5265,0.00167
0.527,0.001683
0.5275,0.001637
0.528,0.001592
0.5285,0.001515
0.529,0.001478
0.5295,0.001427
0.53,0.001395
0.5305,0.001329
0.531,0.001277
0.5315,0.001216
0.532,0.0012
0.5325,0.001172
0.533,0.001136
0.5335,0.001064
0.534,0.001018
0.5345,0.000998
0.535,0.000981
0.5355,0.000931
0.536,0.000864
0.5365,0.000802
0.537,0.000812
0.5375,0.000768
0.538,0.000711
0.5385,0.00063
0.539,0.000644
0.5395,0.000588
0.54,0.000497
0.5405,0.000442
0.541,0.000407
0.5415,0.000346
0.542,0.000341
0.5425,0.000233
0.543,0.000227
0.5435,0.000253
0.544,0.000208
0.5445,0.000126
0.545,0.000126
0.5455,0.000107
0.546,6.47E-05
0.5465,6.66E-05
0.547,4.52E-05
0.5475,8.24E-06
0.548,-4.43E-05
0.5485,-5.86E-05
0.549,-9.82E-05
0.5495,-9.82E-05
0.55,-0.000162
0.5505,-0.000212
0.551,-0.000244
0.5515,-0.000227
0.552,-0.000252
0.5525,-0.00025
0.553,-0.00029
0.5535,-0.000264
0.554,-0.000351
0.5545,-0.000379
0.555,-0.000345
0.5555,-0.000382
0.556,-0.000408
0.5565,-0.000373
0.557,-0.000426
0.5575,-0.000407
0.558,-0.000415
0.5585,-0.000458
0.559,-0.000482
0.5595,-0.000451
0.56,-0.000477
0.5605,-0.000471
0.561,-0.000509
0.5615,-0.000495
0.562,-0.000558
0.5625,-0.00056
0.563,-0.000545
0.5635,-0.000551
0.564,-0.000569
0.5645,-0.000594
0.565,-0.00056
0.5655,-0.000461
0.566,-0.000504
0.5665,-0.000498
0.567,-0.000434
0.5675,-0.000432
0.568,-0.00041
0.5685,-0.000392
0.569,-0.000392
0.5695,-0.000418
0.57,-0.000373
0.5705,-0.000382
0.571,-0.000428
0.5715,-0.00041
0.572,-0.000338
0.5725,-0.000388
0.573,-0.000349
0.5735,-0.000339
0.574,-0.000313
0.5745,-0.000237
0.575,-0.000237
0.5755,-0.000176
0.576,-0.000159
0.5765,-0.000111
0.577,-5.99E-05
0.5775,-4.37E-05
0.578,-6.38E-05
0.5785,-1.71E-05
0.579,7.59E-06
0.5795,4.26E-05
0.58,7.18E-05
0.5805,5.17E-05
0.581,7.05E-05
0.5815,0.000163
0.582,0.000125
0.5825,0.000156
0.583,0.000204
